,new_length,original_length:,language,script,XLM-R
656,1317291,1972566,nep,['Deva'],True
657,7225513,7988516,gle,['Latn'],True
658,240101,275332,cab,['Latn'],
659,50645,50786,mps,['Latn'],
660,25811,40247,lad,['Latn'],
661,899895,1167149,pnb,['Arab'],
662,29979,30216,gub,['Latn'],
663,5989369,7529229,swa,['Latn'],True
664,20204,20296,ame,['Latn'],
665,22134,23160,suk,['Latn'],
666,38611,39731,hnj,['Latn'],
667,1062491,1610255,haw,['Latn'],
668,1401844,1486983,tpi,['Latn'],
669,192962,229138,ncj,['Latn'],
670,3916769,4252418,som,['Latn'],True
671,25527,31200,acf,['Latn'],
672,248348,274522,mam,['Latn'],
673,12479626,18382147,lit,['Latn'],True
674,610052,680635,yua,['Latn'],
675,46291,90100,asm,['Latn'],
676,352697,466063,sah,['Cyrl'],
677,25994,32704,tar,['Latn'],
678,45716,55036,hrx,['Latn'],
